s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.48035,0.41504,0.27649,0.02603,0.04738,0.18791,0.27269,0.01093,0.10472,0.35419,0.1763,0.01404,-0.02381,0.24659,0.03234,-0.34668,0.0214,0.24054,0.23455,0.10929,0.15453,0.37168,0.10172,0.05867,-0.16114,-0.19226,0.14526,-0.06286,-0.4773
0.48035,0.41504,0.27649,0.04239,0.05202,0.18578,0.25002,0.0,0.10054,0.33633,0.17481,-0.02564,-0.08728,0.18006,-0.02564,-0.3833,0.0042,0.21633,0.25576,0.1062,0.12827,0.37277,0.11843,0.07143,-0.18433,-0.19043,0.17761,-0.06469,-0.44678
0.48035,0.41504,0.27649,0.0361,0.07365,0.22141,0.23249,0.02077,0.11306,0.35456,0.1602,-0.09278,-0.14527,0.17334,-0.05799,-0.42054,0.00671,0.19882,0.25152,0.17836,0.11992,0.35674,0.07369,0.12025,-0.30762,-0.31738,0.04456,-0.1062,-0.55298
0.48035,0.41504,0.27649,0.02056,0.25187,0.26807,0.4557,0.19604,0.04266,0.55242,0.2491,-0.625,-0.5951,-0.20935,-0.29663,-1.13465,0.05205,0.31419,0.25619,0.216,0.21896,0.44238,0.05519,0.1075,-0.83863,-0.91431,-0.54565,-0.65857,-1.28663
0.48035,0.41504,0.27649,0.06213,0.14164,0.19935,0.3026,0.04627,0.05818,0.38516,0.21926,-0.27649,-0.36682,-0.07995,-0.19898,-0.7251,0.05583,0.25239,0.24346,0.1928,0.18585,0.38771,0.05966,0.08782,-0.40833,-0.4895,-0.13916,-0.26123,-0.78858
0.48035,0.41504,0.27649,0.07976,0.0649,0.23838,0.2696,0.02332,0.13007,0.39537,0.2127,-0.04944,-0.16541,0.17762,-0.0885,-0.48462,0.04197,0.20912,0.22268,0.10568,0.15095,0.33925,0.09546,0.03826,-0.23499,-0.29602,0.02441,-0.1709,-0.54383
0.48035,0.41504,0.27649,0.04366,0.05408,0.20106,0.26187,0.00036,0.11008,0.35783,0.18257,-0.06287,-0.12635,0.16297,-0.06226,-0.4364,0.03778,0.24466,0.23752,0.1165,0.16855,0.37714,0.09963,0.04956,-0.22583,-0.28076,0.06103,-0.14282,-0.57068
0.48035,0.41504,0.27649,0.02393,0.01751,0.19044,0.2294,0.00838,0.1238,0.32577,0.14976,-0.03357,-0.06836,0.20569,-0.04761,-0.33997,0.02057,0.20808,0.24686,0.1062,0.13514,0.35929,0.11217,0.05721,-0.19287,-0.22278,0.13245,-0.09704,-0.46936
0.48035,0.41504,0.27649,0.03274,0.04945,0.20657,0.25053,0.00656,0.11664,0.35456,0.16825,-0.04517,-0.09278,0.20447,-0.03418,-0.38941,0.01469,0.20912,0.24473,0.10929,0.13156,0.3582,0.10888,0.0645,-0.25513,-0.27649,0.07568,-0.14709,-0.5243
0.48035,0.41504,0.27649,0.00923,0.12877,0.23032,0.32167,0.09911,0.08741,0.42525,0.17959,-0.01953,-0.00611,0.32532,0.14648,-0.38697,0.01301,0.20706,0.23158,0.06546,0.12917,0.34544,0.125,0.03499,-0.23438,-0.25329,0.07996,-0.17578,-0.49866
0.48035,0.41504,0.27649,0.03274,0.01854,0.19723,0.25414,0.01531,0.12798,0.34909,0.17034,-0.01282,-0.06043,0.22339,-0.03846,-0.36133,0.00587,0.23281,0.27231,0.08712,0.13901,0.39864,0.1411,0.05648,-0.26978,-0.27832,0.11353,-0.17517,-0.5542
0.48035,0.41504,0.27649,0.03442,0.04841,0.18451,0.27063,0.00437,0.10173,0.34981,0.18108,-0.0293,-0.07935,0.18616,-0.02198,-0.39978,0.0508,0.23178,0.23965,0.1263,0.09814,0.36986,0.09546,0.13337,-0.28504,-0.21118,0.13367,-0.06164,-0.48584
0.48035,0.41504,0.27649,0.04492,0.03245,0.19427,0.26857,0.01604,0.11784,0.35674,0.18734,-0.08789,-0.1532,0.12635,-0.11475,-0.47119,0.04113,0.21684,0.25152,0.09537,0.15482,0.36949,0.12171,0.03171,-0.28992,-0.34973,0.01221,-0.23681,-0.60669
0.48035,0.41504,0.27649,0.02225,0.05408,0.19978,0.27116,0.01894,0.10919,0.3633,0.17273,-0.08667,-0.11902,0.16846,-0.05494,-0.44007,0.05667,0.22251,0.30666,0.11959,0.0886,0.42087,0.14647,0.13373,-0.34668,-0.26428,0.177,-0.12268,-0.52796
0.48035,0.41504,0.27649,0.02435,0.05975,0.22438,0.24177,0.02113,0.12321,0.36367,0.15721,-0.12085,-0.15625,0.16663,-0.08545,-0.44251,0.00294,0.20191,0.28375,0.11393,0.11485,0.38661,0.13364,0.08309,-0.318,-0.31372,0.0946,-0.17883,-0.55298
0.48035,0.41504,0.27649,0.01512,0.04738,0.19215,0.26033,0.0204,0.1077,0.34909,0.16139,-0.15991,-0.18189,0.09461,-0.12574,-0.49012,0.0126,0.23591,0.26509,0.19898,0.12768,0.39463,0.0713,0.15159,-0.39185,-0.37353,0.00793,-0.13794,-0.65308
0.48035,0.41504,0.27649,0.02939,0.0788,0.20105,0.2593,0.03024,0.09576,0.35601,0.17094,-0.12512,-0.16785,0.12146,-0.07447,-0.47486,0.01805,0.23178,0.25322,0.13197,0.14707,0.38152,0.10173,0.07762,-0.30335,-0.32959,0.03479,-0.17334,-0.60425
0.14526,0.12878,-0.13244,0.03988,0.12722,0.20487,0.27889,0.05539,0.07041,0.37314,0.18973,-0.2478,-0.30579,-0.01098,-0.15503,-0.63599,0.02645,0.28484,0.25024,0.28043,0.14617,0.4165,0.01372,0.22119,-0.46387,-0.42541,-0.06531,-0.09338,-0.76294
0.33874,0.27649,-0.01037,0.03694,0.13133,0.23922,0.2526,0.06085,0.09218,0.38407,0.17243,-0.22705,-0.28076,0.06348,-0.12513,-0.57984,0.0575,0.19727,0.2706,0.18507,0.15512,0.37204,0.08323,0.0809,-0.38575,-0.46936,-0.07996,-0.25024,-0.70313
0.27588,0.23193,-0.17517,0.05206,0.13031,0.21887,0.29177,0.047,0.07846,0.39427,0.20584,-0.27954,-0.35523,-0.04028,-0.20081,-0.70069,0.01091,0.27659,0.25788,0.23713,0.16795,0.41722,0.04415,0.15815,-0.43763,-0.45349,-0.0824,-0.17273,-0.78125
0.76172,0.62622,0.57923,0.01301,0.0,0.13106,0.27785,0.0113,0.09218,0.309,0.17004,0.52124,0.50232,0.69092,0.50232,0.17334,0.02477,0.17873,0.18662,0.02216,0.12111,0.28677,0.14408,0.03716,0.29236,0.25635,0.5249,0.23011,0.04456
0.75622,0.60913,0.34668,0.01931,0.01288,0.20487,0.21703,0.00765,0.13663,0.32941,0.13932,0.17151,0.14343,0.43824,0.15869,-0.11353,0.02309,0.15607,0.21462,0.05568,0.1068,0.29479,0.11873,0.01931,0.01709,-0.01648,0.29236,0.04944,-0.20142
1.09741,0.74463,3.2074,0.06171,0.04996,0.08441,0.30106,0.01822,0.03043,0.28532,0.21807,0.401,0.31128,0.43274,0.37048,-0.04517,0.04576,0.19366,0.19214,0.0428,0.14468,0.30208,0.11037,0.00947,0.10559,0.03906,0.31555,0.08973,-0.19043
0.69763,0.55603,0.27039,0.00504,0.07056,0.14506,0.32116,0.05429,0.06116,0.35164,0.18227,0.28442,0.29175,0.50049,0.37536,-0.0885,0.04449,0.18285,0.21928,0.05465,0.13752,0.31775,0.12261,1e-05,0.03051,-0.03418,0.28137,0.03052,-0.25086
0.70068,0.56396,0.32959,0.0424,0.05923,0.14591,0.27115,0.0051,0.06832,0.31702,0.18704,0.27527,0.21362,0.42359,0.28381,-0.10742,0.01427,0.17409,0.20529,0.0366,0.09069,0.29953,0.1232,0.03826,0.03357,0.05432,0.34973,0.09766,-0.15198
0.48035,0.41504,0.27649,0.04365,0.09477,0.21505,0.27116,0.02915,0.09636,0.37642,0.18794,-0.12818,-0.19165,0.1178,-0.07935,-0.5127,0.04533,0.22818,0.25024,0.16805,0.16437,0.37641,0.07875,0.07944,-0.32227,-0.38818,-0.02808,-0.18921,-0.65857
0.48035,0.41504,0.27649,0.05583,0.15916,0.26256,0.316,0.06413,0.09248,0.44893,0.22254,-0.51758,-0.59876,-0.22094,-0.41016,-0.9729,0.01426,0.26938,0.42712,0.24383,0.16616,0.55752,0.1593,0.15998,-0.71656,-0.7373,-0.12268,-0.4486,-1.05652
1.07727,0.72876,3.1482,0.01805,0.0752,0.13488,0.27476,0.03753,0.05131,0.3101,0.17183,0.30273,0.27649,0.47058,0.3656,-0.04883,0.01805,0.15298,0.23837,0.02526,0.10143,0.31301,0.15303,0.00219,0.05371,0.02747,0.37048,0.05738,-0.15381
0.7251,0.58349,0.34912,0.01931,0.0376,0.1845,0.25106,0.04336,0.15154,0.33597,0.159,0.25024,0.22217,0.48767,0.17761,-0.07508,0.03694,0.17976,0.21886,0.0433,0.13037,0.3152,0.12887,0.00146,0.06897,0.01526,0.3302,0.06653,-0.19776
0.77209,0.61157,0.33997,0.02854,0.0206,0.25365,0.26342,0.03935,0.16647,0.40411,0.13216,0.20447,0.24597,0.61097,0.27038,-0.06592,0.03106,0.16328,0.22268,0.04176,0.11664,0.30682,0.13245,0.00256,0.06286,0.0177,0.33813,0.06714,-0.17579
1.09192,0.73852,3.07251,0.01427,0.01906,0.17136,0.24229,0.02587,0.13156,0.31848,0.15035,0.2478,0.22705,0.47364,0.20446,-0.05982,0.03022,0.18491,0.21208,0.03918,0.12857,0.31301,0.12649,0.00146,0.04821,0.00427,0.30945,0.05066,-0.21485
0.69763,0.56213,0.32044,0.04534,0.1025,0.11622,0.31188,0.03316,0.02238,0.3203,0.2127,0.33447,0.26855,0.43579,0.39001,-0.10071,0.00336,0.17873,0.20614,0.05104,0.1059,0.30354,0.11544,0.03316,0.0415,0.03662,0.33325,0.09705,-0.17518
0.69519,0.55359,0.28504,0.05499,0.00978,0.18154,0.24074,0.04081,0.12201,0.32613,0.17839,0.21667,0.13672,0.39795,0.14831,-0.14832,0.05709,0.17564,0.2125,0.02011,0.1423,0.30682,0.13782,0.03534,0.05188,-0.03113,0.27466,-0.00732,-0.23926
0.67688,0.53772,0.26306,0.05457,0.10404,0.13658,0.2861,0.02623,0.0358,0.31957,0.20435,0.26428,0.18493,0.38147,0.30822,-0.15381,0.034,0.1674,0.21461,0.05258,0.12111,0.30281,0.12051,0.00766,-0.02686,-0.07629,0.23254,-0.01403,-0.27466
0.67627,0.53466,0.34424,0.01217,0.05356,0.13489,0.27785,0.04846,0.06385,0.31229,0.15214,0.34668,0.36438,0.55848,0.42785,0.0354,0.00252,0.16586,0.20698,0.03454,0.09427,0.29516,0.12559,0.0266,0.02685,0.03052,0.32837,0.07141,-0.16602
0.71472,0.55908,0.38819,0.0277,0.00979,0.1913,0.24693,0.03097,0.14022,0.33889,0.16258,0.25512,0.21484,0.49012,0.20324,-0.07752,0.00545,0.1607,0.28885,0.03609,0.09695,0.36184,0.18227,0.02078,-0.00916,-0.01709,0.39856,0.02564,-0.20752
