s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.79773,0.66956,0.48645,0.01302,0.06747,0.17644,0.22064,0.03643,0.16317,0.30755,0.11843,0.36071,0.37964,0.63354,0.29969,0.1184,0.01427,0.18749,0.19087,0.00567,0.11873,0.29661,0.13096,0.00838,0.17273,0.15198,0.42664,0.15869,-0.07019
0.625,0.50354,0.20691,0.0575,0.04636,0.21589,0.25878,0.01712,0.12499,0.3684,0.19062,0.03173,-0.05188,0.25879,0.00306,-0.35828,0.04953,0.20551,0.23031,0.05619,0.15423,0.34325,0.12947,0.00328,-0.11658,-0.1886,0.14282,-0.12207,-0.43213
0.57617,0.43701,0.33265,0.00545,0.04018,0.1616,0.22992,0.03316,0.13693,0.30135,0.13693,0.26489,0.25696,0.4895,0.20935,-0.01526,0.03023,0.18696,0.23158,0.01236,0.12977,0.33122,0.17003,0.03498,0.06348,0.01953,0.35278,0.00489,-0.20202
0.78308,0.64453,0.53162,0.04155,0.00669,0.15269,0.28559,0.03134,0.10351,0.33305,0.1948,0.50537,0.44495,0.66467,0.45288,0.10681,0.02939,0.17048,0.1773,0.04794,0.11962,0.27293,0.15244,0.0594,0.25818,0.21545,0.47058,0.15869,0.01343
0.92529,0.74768,0.50721,0.01427,0.05871,0.19002,0.2062,0.02915,0.16765,0.309,0.10918,0.34973,0.37048,0.64392,0.30091,0.12634,0.02267,0.20139,0.17772,0.00619,0.13275,0.29516,0.12141,0.0153,0.22278,0.18982,0.44556,0.19715,-0.04883
0.77515,0.61767,0.52796,0.00588,0.05356,0.15651,0.22476,0.03279,0.1411,0.29334,0.12589,0.37597,0.38452,0.60974,0.32105,0.1184,0.02098,0.18851,0.20063,0.01908,0.09427,0.30572,0.13006,0.0317,0.19959,0.2301,0.5188,0.25269,0.00672
1.10535,0.8612,0.59327,0.10746,0.01957,0.25364,0.23507,0.07944,0.18973,0.38407,0.05966,0.33264,0.48889,0.85388,0.4657,0.21057,0.00336,0.1777,0.24898,0.01031,0.10053,0.33961,0.16914,0.0102,0.14771,0.15259,0.51087,0.1648,-0.05798
0.92285,0.74768,0.4242,0.00293,0.05047,0.17178,0.20775,0.03825,0.15005,0.29443,0.12231,0.32653,0.32227,0.56946,0.26246,0.07629,0.04155,0.23847,0.15566,0.03247,0.16765,0.30244,0.09069,0.01312,0.21118,0.15076,0.37476,0.18921,-0.13183
0.94788,0.75317,0.51819,0.0445,0.07571,0.1845,0.20723,0.01494,0.17362,0.30499,0.0883,0.3009,0.3656,0.6311,0.27588,0.12024,0.01763,0.16533,0.22479,0.00103,0.10828,0.31009,0.15751,0.01457,0.13977,0.11414,0.43762,0.11536,-0.08178
0.48035,0.41504,0.27649,0.03862,0.00721,0.14294,0.26239,0.03862,0.10471,0.30827,0.17929,0.45471,0.39856,0.60425,0.39002,0.08789,0.02561,0.20911,0.18875,0.00052,0.13932,0.3101,0.13245,0.02186,0.16724,0.13,0.40161,0.13062,-0.1178
0.48035,0.41504,0.27649,0.01008,0.04789,0.17772,0.22733,0.02513,0.15273,0.31337,0.12439,0.28808,0.30273,0.55847,0.24598,0.03357,0.03568,0.21478,0.19554,0.00051,0.14975,0.31993,0.13782,0.03133,0.12939,0.07751,0.35889,0.07691,-0.177
0.48035,0.41504,0.27649,0.01763,0.05203,0.16881,0.33662,0.05211,0.0886,0.38297,0.18227,0.3717,0.39734,0.64026,0.45899,-0.00122,0.05751,0.21581,0.20402,0.00205,0.16586,0.32795,0.14468,0.05137,0.17944,0.09582,0.38941,0.09339,-0.15991
0.48035,0.41504,0.27649,0.00882,0.0412,0.18578,0.24486,0.02149,0.15453,0.33269,0.13543,0.2893,0.30212,0.56946,0.2533,0.0122,0.02015,0.17821,0.2091,0.01701,0.11754,0.30572,0.15691,0.02952,0.11597,0.08667,0.38757,0.06653,-0.12451
0.73242,0.60608,0.42298,0.00504,0.04327,0.18281,0.22889,0.02623,0.15363,0.31884,0.12887,0.28747,0.2948,0.55786,0.24353,0.0238,0.00587,0.18181,0.2125,0.00309,0.10948,0.31119,0.15125,0.00728,0.0769,0.06836,0.37415,0.0647,-0.14709
0.69275,0.56518,0.35157,0.02476,0.06232,0.11791,0.33663,0.0226,0.04683,0.33925,0.2124,0.42907,0.39307,0.56274,0.46692,-0.0055,0.02519,0.18387,0.19469,0.00309,0.12439,0.29734,0.13872,0.02405,0.12817,0.09155,0.37171,0.08789,-0.12634
0.67749,0.55603,0.33082,0.01805,0.0412,0.19977,0.23352,0.01347,0.16436,0.33669,0.12231,0.18127,0.20752,0.49499,0.1587,-0.06897,0.03526,0.18696,0.22099,0.01237,0.13334,0.32212,0.14826,0.02186,0.05493,0.00366,0.32166,0.01831,-0.21789
0.40894,0.34546,0.07935,0.09823,0.12362,0.24431,0.3191,0.17273,0.10023,0.43544,0.11485,-0.0879,0.05493,0.40649,0.20142,-0.32288,0.04618,0.24722,0.22056,0.12115,0.176,0.36439,0.08502,0.04555,-0.20203,-0.26917,0.04822,-0.12573,-0.56213
0.2417,0.22949,-0.15075,0.04576,0.17615,0.2494,0.34127,0.16435,0.07338,0.45549,0.16497,-0.27955,-0.21301,0.14587,-0.00427,-0.61707,0.02225,0.31316,0.28927,0.19022,0.16557,0.47007,0.09337,0.15377,-0.40405,-0.3717,0.04456,-0.14648,-0.7428
0.69336,0.53772,0.40406,0.07137,0.00412,0.15863,0.25415,0.05904,0.11395,0.31593,0.09635,0.36315,0.46692,0.69519,0.46204,0.16601,0.03065,0.17408,0.1756,0.02783,0.12261,0.27402,0.13961,0.04627,0.17395,0.12939,0.38208,0.09644,-0.0769
0.66101,0.52307,0.42298,0.01973,0.01133,0.17644,0.23095,0.00911,0.13066,0.31483,0.11962,0.27893,0.30762,0.56152,0.29419,0.03418,0.05079,0.19778,0.18196,0.0,0.15065,0.29624,0.12798,0.04409,0.1947,0.12085,0.38269,0.12085,-0.11352
0.77759,0.63354,0.53528,0.00882,0.07005,0.16287,0.21342,0.0419,0.15512,0.29078,0.11724,0.38208,0.3949,0.62927,0.31189,0.14221,0.03274,0.2292,0.23413,0.00671,0.10948,0.36329,0.16079,0.03316,0.21118,0.25879,0.5957,0.26673,-0.01281
0.73792,0.57434,0.57557,0.01344,0.01288,0.19723,0.17476,0.00256,0.14617,0.29297,0.09158,0.28503,0.30457,0.58838,0.28931,0.09765,0.04366,0.1097,0.20741,0.03093,0.09457,0.2558,0.16377,0.05976,0.18799,0.12451,0.42297,0.08789,-0.00549
0.78369,0.61584,0.4242,0.00377,0.03399,0.095,0.29024,0.02078,0.04713,0.28678,0.17064,0.4486,0.44312,0.57983,0.4834,0.09948,0.0659,0.17564,0.16796,0.00103,0.14856,0.26856,0.11873,0.05793,0.23132,0.1355,0.3772,0.13428,-0.07263
0.4718,0.38208,0.28443,0.03149,0.02009,0.21377,0.26394,0.04155,0.13871,0.37021,0.13036,0.12695,0.17273,0.48034,0.19654,-0.13977,0.01805,0.24105,0.22735,0.01959,0.12678,0.36584,0.14856,0.02952,0.04211,0.06836,0.39551,0.09156,-0.21728
0.49561,0.41687,0.33875,0.00672,0.0309,0.19129,0.24538,0.01603,0.15244,0.33779,0.13722,0.21606,0.22583,0.5011,0.18921,-0.0647,0.01889,0.22096,0.20953,0.02423,0.1414,0.33633,0.13334,0.00073,-0.00854,-0.03601,0.2655,-0.00732,-0.29785
0.42908,0.36255,0.19715,0.03484,0.07624,0.17008,0.31858,0.08418,0.07547,0.37131,0.1596,0.1123,0.16296,0.40771,0.2533,-0.21424,0.05248,0.20293,0.22565,0.04795,0.15482,0.33742,0.13096,0.01166,-0.03723,-0.11353,0.21118,-0.05676,-0.354
0.47913,0.401,0.30762,0.07935,0.02678,0.26212,0.26549,0.08783,0.16884,0.41285,0.09725,0.08483,0.2002,0.57739,0.23194,-0.11414,0.03232,0.18903,0.25449,0.0299,0.13245,0.35236,0.16169,0.00693,-0.04272,-0.08972,0.27649,-0.05432,-0.31372
0.39978,0.3241,0.27405,0.03232,0.00154,0.22564,0.21342,0.02696,0.15781,0.34471,0.14647,0.0769,0.02991,0.35461,0.03174,-0.22278,0.04702,0.23384,0.27824,0.07526,0.16885,0.40447,0.15214,0.01239,-0.0946,-0.16296,0.23743,-0.07385,-0.44006
0.49927,0.41016,0.28626,0.05499,0.0309,0.27612,0.27528,0.0696,0.1763,0.4318,0.12022,0.09033,0.17029,0.56762,0.20691,-0.15564,0.05624,0.22611,0.22013,0.05258,0.17093,0.34908,0.12439,0.01165,-0.00916,-0.09094,0.22583,-0.02868,-0.35888
0.38269,0.33081,0.23438,0.02393,0.01289,0.21165,0.25156,0.01165,0.1414,0.35965,0.16258,0.03967,0.00488,0.30945,0.02015,-0.29297,0.05834,0.26268,0.28376,0.08301,0.11067,0.42961,0.15154,0.10932,-0.10986,-0.02503,0.3833,0.07325,-0.3363
0.67444,0.51941,0.57374,0.07977,0.00824,0.19086,0.28353,0.06341,0.13901,0.36439,0.10739,0.44921,0.56519,0.83984,0.55542,0.22949,0.03064,0.15658,0.2142,0.01237,0.11246,0.29479,0.15781,0.03534,0.2301,0.18555,0.49378,0.1709,0.0
0.68298,0.56824,0.51819,0.02309,0.05099,0.18917,0.21703,0.01603,0.16258,0.31593,0.10918,0.3363,0.36987,0.64209,0.30945,0.11291,0.04953,0.19521,0.18875,0.03402,0.14826,0.30026,0.15244,0.06704,0.20752,0.1355,0.40711,0.09522,-0.09582
0.58472,0.46143,0.40284,0.00378,0.03193,0.16881,0.23301,0.01931,0.13722,0.30973,0.13215,0.27465,0.28015,0.52307,0.24231,0.00427,0.02813,0.23178,0.22607,0.04691,0.11425,0.35819,0.13185,0.05758,0.09155,0.13245,0.45776,0.18799,-0.14221
0.62439,0.50049,0.49683,0.00798,0.07932,0.17899,0.20827,0.04918,0.17182,0.30099,0.11485,0.36254,0.37415,0.63171,0.28016,0.12756,0.03526,0.21992,0.19129,0.05258,0.15243,0.31993,0.10411,0.00656,0.23193,0.18066,0.45593,0.24292,-0.07995
0.64026,0.52307,0.5066,0.02141,0.04738,0.19553,0.19228,0.01494,0.16497,0.3039,0.09606,0.30212,0.33325,0.61462,0.2771,0.10559,0.04324,0.17666,0.22056,0.0031,0.13304,0.31447,0.15333,0.03534,0.14038,0.07751,0.3949,0.08118,-0.13183
0.58106,0.46265,0.41077,0.07514,0.00619,0.19002,0.29229,0.0696,0.13006,0.36986,0.11575,0.34668,0.45593,0.72937,0.46326,0.10986,0.00629,0.19057,0.23158,0.00103,0.11485,0.33378,0.16228,0.00473,0.12634,0.11719,0.45044,0.11841,-0.10864
0.57251,0.46326,0.46937,0.0277,0.04017,0.19638,0.22424,0.00437,0.16138,0.32722,0.11008,0.26184,0.30212,0.58471,0.25452,0.03662,0.04827,0.19418,0.2019,0.01391,0.14677,0.31082,0.15005,0.05174,0.17822,0.10803,0.39856,0.09156,-0.12207
0.60608,0.50598,0.42115,0.06464,0.01752,0.17857,0.27373,0.06851,0.11544,0.3469,0.11247,0.3479,0.44189,0.69885,0.46265,0.11779,0.01721,0.22148,0.22607,0.04382,0.11605,0.35091,0.13365,0.04591,0.09766,0.12268,0.448,0.17456,-0.13977
0.57251,0.46875,0.43274,0.03652,0.02524,0.17518,0.28508,0.01384,0.10859,0.35201,0.19092,0.37048,0.31738,0.56946,0.34729,-0.02015,0.02728,0.21993,0.17051,0.06393,0.14677,0.30208,0.08293,0.0215,0.14221,0.10254,0.3479,0.17823,-0.15808
0.7013,0.56213,0.57801,0.01217,0.02524,0.19892,0.24229,0.02842,0.15453,0.34216,0.14886,0.42907,0.41138,0.69763,0.38147,0.12451,0.06506,0.1849,0.17984,0.03247,0.15333,0.28531,0.14528,0.07943,0.32043,0.22583,0.48462,0.18738,0.00672
0.76721,0.62866,0.54139,0.06885,0.00876,0.16669,0.31291,0.06596,0.11216,0.36439,0.13215,0.46691,0.56702,0.80688,0.5774,0.19653,0.03064,0.18285,0.20529,0.02784,0.12768,0.30573,0.16049,0.04627,0.2301,0.18555,0.48096,0.15259,-0.03113
0.89783,0.72754,0.64881,0.05793,0.09529,0.20953,0.2593,0.1177,0.09217,0.3633,0.10889,0.3363,0.42053,0.72204,0.53345,0.11352,0.01343,0.09735,0.22946,0.02629,0.06593,0.26601,0.1766,0.03024,0.17273,0.1532,0.4834,0.12207,0.03784
0.67261,0.55359,0.34913,0.00294,0.03348,0.16839,0.2392,0.02623,0.13782,0.31374,0.14051,0.25024,0.24597,0.48828,0.2063,-0.03724,0.03484,0.20088,0.18747,0.00774,0.1411,0.30317,0.12738,0.02478,0.09827,0.04761,0.31738,0.05677,-0.19043
0.75195,0.61279,0.33631,0.0277,0.05924,0.17136,0.31084,0.06596,0.08621,0.36694,0.1602,0.24536,0.28564,0.53222,0.35584,-0.0824,0.0084,0.21169,0.2354,0.01289,0.12857,0.35199,0.1581,0.00182,-0.00854,-0.02075,0.31799,-0.00549,-0.2716
0.85022,0.69336,0.48462,0.01553,0.02884,0.17178,0.23558,0.03388,0.13752,0.3141,0.14737,0.35644,0.33386,0.58105,0.29969,0.05493,0.05206,0.18233,0.20063,0.00927,0.1426,0.30135,0.14647,0.05174,0.18738,0.11169,0.40039,0.10071,-0.10437
0.64087,0.48218,0.28443,0.07346,0.0376,0.16881,0.30724,0.09037,0.09695,0.3622,0.12559,0.29907,0.40588,0.6488,0.45044,0.04211,0.0063,0.20293,0.21462,0.02732,0.12201,0.32795,0.13514,0.01384,0.01099,0.00183,0.31067,0.03418,-0.23864
0.82398,0.64148,0.53772,0.0848,0.00258,0.19553,0.26652,0.07544,0.13603,0.35638,0.09397,0.41442,0.53772,0.81909,0.54078,0.22216,0.02519,0.20705,0.23286,0.0428,0.13782,0.34654,0.13901,0.00839,0.21606,0.17944,0.51453,0.23011,-0.06592
0.55237,0.43213,0.43702,0.02477,0.01441,0.20868,0.23507,0.0317,0.15512,0.34544,0.15363,0.30151,0.2655,0.56579,0.24842,-0.01282,0.01469,0.15401,0.20402,0.00567,0.09964,0.28423,0.14021,0.00875,0.06836,0.047,0.34058,0.05371,-0.1355
0.52063,0.41992,0.3827,0.01847,0.06129,0.14124,0.34281,0.0594,0.06384,0.36366,0.18525,0.40344,0.4303,0.63354,0.50293,0.02441,0.05121,0.18233,0.20614,0.00412,0.14199,0.30608,0.1426,0.04154,0.10742,0.03296,0.32959,0.03784,-0.1831
0.60852,0.49805,0.40345,0.00084,0.03038,0.2019,0.22785,0.02076,0.15959,0.33451,0.13126,0.23071,0.23193,0.52246,0.19593,-0.03785,0.06759,0.19778,0.19129,0.03145,0.16258,0.30426,0.11634,0.03644,0.05493,-0.04334,0.23193,-0.0061,-0.27771
0.56336,0.46204,0.44312,0.00839,0.04378,0.19892,0.20672,0.03826,0.16526,0.31702,0.12559,0.25024,0.23804,0.52429,0.18616,-0.00672,0.04072,0.17821,0.24049,0.00052,0.13216,0.33269,0.16885,0.03499,0.09644,0.03723,0.3833,0.03784,-0.17395
0.72815,0.58899,0.58167,0.00462,0.06747,0.19638,0.21188,0.04372,0.17719,0.31848,0.11933,0.42419,0.43091,0.7135,0.35096,0.18005,0.02896,0.20294,0.16415,0.02011,0.13812,0.28459,0.10381,0.01093,0.29968,0.25757,0.49378,0.28138,0.01709
0.70435,0.56091,0.61219,0.08858,0.00772,0.17347,0.26497,0.07143,0.12648,0.33633,0.09039,0.49316,0.62195,0.87158,0.6128,0.30822,0.01385,0.15297,0.21462,0.04226,0.09844,0.2926,0.17541,0.0419,0.26672,0.24658,0.55542,0.19654,0.06531
0.73914,0.60852,0.65125,0.01385,0.01287,0.1722,0.23249,0.02113,0.12857,0.31228,0.14438,0.45959,0.43945,0.68725,0.4242,0.16418,0.00966,0.1983,0.18026,0.00309,0.12171,0.29515,0.12857,0.01057,0.36011,0.34607,0.60547,0.34241,0.11109
0.6781,0.54688,0.58289,0.0701,0.00824,0.21207,0.25002,0.05503,0.15392,0.35892,0.09486,0.40161,0.50354,0.80871,0.49378,0.20752,0.03526,0.19006,0.23201,0.00927,0.08502,0.33378,0.16854,0.02405,0.2063,0.25757,0.59143,0.24659,0.03235
0.72266,0.59021,0.57251,0.00336,0.05408,0.20656,0.20259,0.03534,0.1766,0.32066,0.11485,0.36071,0.3656,0.66284,0.30152,0.12573,0.07724,0.20191,0.21122,0.01907,0.17183,0.3243,0.13752,0.05356,0.26611,0.15381,0.45776,0.17639,-0.08545
0.69214,0.55908,0.56336,0.03485,0.03605,0.15099,0.27683,0.05576,0.08532,0.3254,0.13543,0.41137,0.46204,0.67932,0.50476,0.13427,0.01008,0.18851,0.17603,0.02268,0.11634,0.28459,0.13693,0.02478,0.29541,0.28076,0.53406,0.25391,0.05738
0.70374,0.55786,0.55787,0.00377,0.05614,0.16753,0.20518,0.04299,0.15035,0.28896,0.12141,0.4309,0.42542,0.6665,0.35889,0.18249,0.01427,0.21786,0.21123,0.02372,0.11604,0.3356,0.13484,0.02915,0.2478,0.26855,0.57251,0.29663,0.01038
0.71961,0.58106,0.56031,0.03022,0.07313,0.17093,0.21342,0.07797,0.16258,0.29771,0.14498,0.46752,0.42358,0.66955,0.33692,0.17089,0.02561,0.23023,0.21632,0.03506,0.11515,0.34872,0.13186,0.04701,0.19653,0.23376,0.54505,0.27527,-0.03906
0.70252,0.56885,0.63477,0.0042,0.06026,0.19596,0.20466,0.03899,0.17272,0.31301,0.11545,0.4071,0.41321,0.69519,0.3418,0.17089,0.02939,0.17305,0.20274,0.04742,0.12111,0.29661,0.17004,0.05903,0.30518,0.26245,0.5542,0.2063,0.05738
0.69763,0.57617,0.53895,0.03568,0.03141,0.14633,0.23301,0.05319,0.12111,0.29042,0.1602,0.43823,0.38635,0.59692,0.34913,0.11047,0.06464,0.20963,0.14506,0.04742,0.16735,0.27293,0.07458,0.02259,0.33203,0.23804,0.44678,0.29419,-0.01037
0.68543,0.54993,0.55848,0.02014,0.04893,0.17942,0.21239,0.0521,0.15453,0.30427,0.13722,0.42663,0.39734,0.65552,0.33936,0.14587,0.0529,0.20087,0.18366,0.02114,0.15393,0.29989,0.11694,0.03097,0.27527,0.19836,0.46265,0.22339,-0.03967
0.70374,0.5542,0.5896,0.06003,0.0098,0.22353,0.25465,0.05904,0.15154,0.37204,0.10471,0.39001,0.47729,0.79895,0.4889,0.17578,0.04072,0.17666,0.23286,0.00979,0.07338,0.32503,0.16944,0.02842,0.17395,0.23315,0.56824,0.22156,0.02381
0.73547,0.59753,0.52247,0.00546,0.04481,0.18068,0.21652,0.02696,0.15303,0.30827,0.12142,0.38452,0.39246,0.65246,0.33936,0.1361,0.04198,0.19417,0.13361,0.0428,0.14229,0.25216,0.06921,0.00619,0.24414,0.1831,0.37537,0.23377,-0.04699
0.65613,0.52979,0.48096,0.02813,0.05666,0.13021,0.31394,0.0645,0.05876,0.33378,0.16169,0.44372,0.48462,0.67199,0.55176,0.11291,0.03694,0.14576,0.18705,0.03247,0.11067,0.26381,0.15035,0.05502,0.19043,0.13672,0.40588,0.09827,-0.03601
0.72632,0.58167,0.56397,0.00084,0.03708,0.20656,0.19692,0.0255,0.16675,0.31665,0.11336,0.37109,0.37231,0.66955,0.32837,0.13916,0.00797,0.25341,0.13403,0.04227,0.15243,0.29442,0.0698,0.02296,0.2655,0.25391,0.44678,0.30396,-0.04638
0.63049,0.5127,0.54444,0.01385,0.01495,0.11452,0.26651,0.00145,0.07189,0.28678,0.16407,0.52856,0.50842,0.67322,0.52613,0.19287,0.03568,0.17615,0.18323,0.0201,0.12738,0.28204,0.1405,0.04518,0.27283,0.22095,0.48462,0.19715,0.01221
0.69092,0.54932,0.57435,1e-05,0.02781,0.17983,0.23765,0.01967,0.14259,0.32248,0.13752,0.39611,0.39612,0.6549,0.36316,0.11474,0.04702,0.17821,0.19256,0.02938,0.13663,0.29151,0.15244,0.06158,0.27954,0.21118,0.48828,0.17639,0.0
0.70191,0.56641,0.49134,0.04995,0.02884,0.15057,0.26291,0.06376,0.1226,0.31519,0.18764,0.47485,0.40222,0.61889,0.36805,0.09094,0.034,0.16121,0.16372,0.04175,0.11753,0.2547,0.13931,0.05903,0.26428,0.21484,0.45044,0.16541,0.02381
0.68848,0.55359,0.51758,0.02267,0.04068,0.17093,0.21032,0.0091,0.14378,0.29552,0.1056,0.38757,0.42053,0.6665,0.37232,0.17151,0.01091,0.21375,0.19002,0.04795,0.11605,0.31447,0.1059,0.04336,0.19959,0.21545,0.48889,0.27222,-0.03784
0.67078,0.53345,0.50782,0.01889,0.05665,0.16415,0.22424,0.05648,0.14826,0.29953,0.14319,0.41809,0.39062,0.62683,0.32349,0.12512,0.05247,0.20654,0.16457,0.00721,0.15691,0.2875,0.11992,0.05064,0.30334,0.22705,0.46387,0.21851,-0.0177
0.75195,0.60547,0.52125,0.01049,0.05872,0.16626,0.2428,0.05064,0.15094,0.31447,0.14796,0.45959,0.44434,0.68359,0.37476,0.15686,0.03107,0.19572,0.16542,0.0299,0.13543,0.28058,0.13365,0.0481,0.25635,0.21118,0.44922,0.17578,-0.02075
0.75134,0.59692,0.53284,0.00924,0.06645,0.15481,0.22219,0.03899,0.14737,0.29005,0.12201,0.41259,0.42603,0.6488,0.34729,0.16296,0.03023,0.23332,0.19087,0.02938,0.11366,0.32904,0.11724,0.04701,0.28503,0.32898,0.60364,0.36377,0.05249
0.72144,0.5719,0.54017,0.02015,0.04171,0.16754,0.22063,0.047,0.14199,0.29989,0.142,0.41809,0.38879,0.62988,0.33936,0.12756,0.00294,0.18902,0.19511,0.01598,0.11156,0.30134,0.14647,0.01384,0.21545,0.21118,0.49194,0.19226,-0.01281
0.7544,0.60913,0.61585,0.00923,0.05975,0.17771,0.22013,0.05028,0.15959,0.30827,0.13394,0.42358,0.41016,0.66589,0.33936,0.14953,0.01343,0.14112,0.2248,0.03969,0.09128,0.29297,0.18108,0.03971,0.26489,0.24536,0.56885,0.19837,0.07813
0.71777,0.578,0.58655,0.00671,0.06129,0.1722,0.21342,0.04919,0.15661,0.2988,0.12827,0.40527,0.39551,0.64331,0.32288,0.14282,0.03023,0.18542,0.18875,0.02269,0.12887,0.29333,0.11962,0.0102,0.27588,0.23193,0.50354,0.25879,0.01221
0.74524,0.60364,0.57312,0.00839,0.00927,0.10901,0.2928,0.00072,0.0713,0.30062,0.17541,0.51757,0.50537,0.66223,0.51636,0.15869,0.02813,0.18696,0.19893,0.01856,0.12827,0.30317,0.15065,0.03753,0.30823,0.26733,0.55359,0.24536,0.04578
0.77332,0.62988,0.5896,0.0382,0.0103,0.1527,0.26239,0.04044,0.11336,0.31666,0.17899,0.54565,0.49011,0.70984,0.47791,0.17944,0.01344,0.17666,0.2053,0.01546,0.11187,0.30135,0.15333,0.02259,0.21973,0.20019,0.49561,0.18189,-0.00915
0.66589,0.52185,0.57984,0.00252,0.06644,0.17305,0.20156,0.04481,0.16019,0.29115,0.11485,0.44799,0.45166,0.70068,0.37293,0.21301,0.03946,0.17924,0.19129,0.05206,0.13185,0.29115,0.16467,0.07105,0.24719,0.18982,0.46509,0.12818,-0.02258
0.73486,0.58655,0.67139,0.05206,0.01958,0.25661,0.14073,0.05904,0.16914,0.31993,0.04445,0.10253,0.17822,0.54748,0.20142,0.01159,0.02098,0.06181,0.27909,0.01701,0.05071,0.28349,0.18645,0.00619,0.0238,-0.00671,0.3949,0.01343,-0.07995
0.91614,0.74463,0.57923,0.00378,0.01905,0.18663,0.2361,0.0102,0.1423,0.32722,0.13394,0.39855,0.40405,0.67261,0.38147,0.12451,0.03904,0.2019,0.19427,0.02834,0.14468,0.30973,0.15304,0.05393,0.25513,0.19836,0.47791,0.1648,-0.04089
0.57861,0.46082,0.36011,0.01049,0.03451,0.15438,0.27786,0.01531,0.0886,0.32904,0.16825,0.2539,0.23865,0.46081,0.27954,-0.09034,0.04576,0.22096,0.19935,0.02784,0.16049,0.32759,0.1241,0.02004,0.1532,0.08667,0.37354,0.11963,-0.17517
0.64209,0.52673,0.31495,0.03946,0.00721,0.18536,0.23507,0.03935,0.13454,0.3254,0.16407,0.27282,0.21545,0.48218,0.20691,-0.06287,0.02099,0.18542,0.22311,0.00619,0.12231,0.32285,0.15333,0.01384,0.02075,-0.00977,0.31128,-0.00244,-0.22949
0.66406,0.55481,0.36988,0.02771,0.03399,0.16414,0.31446,0.0481,0.09576,0.3633,0.16228,0.36865,0.40894,0.64514,0.44922,0.03662,0.02183,0.21375,0.19511,0.00773,0.13931,0.31884,0.1417,0.02441,0.11719,0.08545,0.36621,0.0763,-0.16784
0.53589,0.43152,0.32349,0.00294,0.00773,0.19935,0.24744,0.00292,0.13573,0.34617,0.14528,0.14587,0.1416,0.42846,0.15076,-0.15137,0.05122,0.18233,0.22565,0.02888,0.142,0.32285,0.14199,0.02405,0.04517,-0.0293,0.29541,0.00489,-0.24536
0.62439,0.50598,0.3302,0.01973,0.02936,0.19256,0.23559,0.00364,0.15244,0.33196,0.12231,0.177,0.20569,0.48279,0.1709,-0.07325,0.04324,0.21529,0.20826,0.01341,0.15542,0.33123,0.13871,0.02805,0.0531,-0.00977,0.28992,0.00611,-0.26489
0.5835,0.48401,0.27405,0.02309,0.07571,0.20656,0.31034,0.07361,0.10143,0.39682,0.16318,0.1361,0.16968,0.46692,0.2594,-0.19776,0.05248,0.21426,0.20784,0.03506,0.16139,0.33014,0.12589,0.02077,0.04761,-0.02869,0.27039,0.01282,-0.28259
0.54505,0.4596,0.21851,0.02435,0.0031,0.19172,0.24847,0.01894,0.13304,0.34034,0.16109,0.11169,0.07629,0.35217,0.07996,-0.2179,0.03652,0.2359,0.22013,0.05155,0.16258,0.35601,0.12499,0.00474,-0.08789,-0.14099,0.17578,-0.07995,-0.42053
0.47302,0.39429,0.29358,0.03191,0.00154,0.20317,0.23559,0.02879,0.142,0.34107,0.11366,0.09094,0.13733,0.42969,0.13916,-0.14161,0.03904,0.19933,0.22904,0.02835,0.14319,0.33779,0.14468,0.01384,-0.02014,-0.0769,0.25269,-0.04333,-0.31311
0.45349,0.37842,0.20997,0.02267,0.01649,0.19596,0.2459,0.00801,0.12827,0.34216,0.15841,0.07202,0.03906,0.32104,0.0586,-0.25208,0.0382,0.20654,0.21547,0.03764,0.14677,0.33123,0.12977,0.00656,-0.08972,-0.14526,0.1648,-0.1007,-0.39001
0.44495,0.38025,0.11353,0.02141,0.0376,0.21547,0.25878,0.00802,0.12977,0.36804,0.16497,0.00488,-0.02625,0.28381,0.01831,-0.33265,0.05877,0.23332,0.2091,0.0866,0.1769,0.34471,0.09695,0.0102,-0.16296,-0.24841,0.05249,-0.14587,-0.5249
0.33569,0.31433,0.08729,0.01511,0.16843,0.20104,0.32477,0.10604,0.04385,0.40229,0.19868,-0.08423,-0.1062,0.1831,0.09339,-0.49073,0.07052,0.24053,0.23202,0.10002,0.18943,0.36949,0.1053,0.00948,-0.20325,-0.30579,0.02808,-0.18737,-0.59082
0.60486,0.495,0.28687,0.00503,0.00463,0.21038,0.22992,0.00109,0.14528,0.34325,0.13663,0.12268,0.11536,0.41809,0.12085,-0.15686,0.02686,0.21736,0.20826,0.04485,0.14498,0.33269,0.12052,0.00838,-0.02014,-0.0592,0.24048,-0.0061,-0.31677
0.49194,0.40283,0.26429,0.05121,0.03863,0.14973,0.2892,0.01712,0.08293,0.33306,0.20375,0.25573,0.18127,0.39673,0.22705,-0.16114,0.06129,0.19006,0.23498,0.03093,0.15363,0.33633,0.14737,0.03134,-0.05615,-0.14526,0.19287,-0.10864,-0.37048
